家尝味 · 红苋菜：红色的叶子不补血,2016-06-16,史军,"苋菜,花青素,补血","烈日炎炎，嘴巴里着实没有味道。家常餐桌上来个时令蔬菜，就成了一家人筷头的焦点。
红色的苋菜叶只取嫩叶嫩杆，热锅少油，放入蒜片爆香，摘好的苋菜放入炒锅中翻炒至叶子打蔫，即可加盐出锅。这就成了一道配粥吃的上佳小菜。
炒苋菜的色可谓爱者极爱，恶者极恶。作为罕见的「红色绿叶蔬菜」，绿色的菜梗上的红色汁水也被赋予了特别的含义——被认为对补铁补血有好处。
有些朋友喜欢在小区、路边或半山腰的闲置土地上种菜，那自家种的红苋菜是不是更健康呢？
早在商周时期，我们的祖先就开始食用苋菜了。
至于苋菜的营养，倒是很普通的中规中矩，每 100 克红苋菜中有 89 克水，2.8 克蛋白质，5.9 克碳水化合物。
值得注意的是红苋菜的膳食纤维可以达到 1.8 克 / 100 克，这在通常的绿叶菜中也算是优秀（大白菜为 0.9 克 / 100 克），膳食纤维对于促进肠道蠕动，以及维持肠道菌群和谐都有重要意义。对于比较容易发生便秘的人来说，苋菜是个相当不错的选择。
然而，很多朋友可能更关心是，这红色的苋菜是不是补铁补血呢？
有些老百姓喜欢讲「以形补形」，因为红色的汁液长得像血液，红苋菜补血也就成了一个典型的传说。
红苋菜中铁含量为 2.9 毫克 / 100 克，与菠菜和香菜持平。虽说在绿叶蔬菜中也算不低，但是考虑到植物性食物中铁的吸收转化率较低，用红苋菜补铁的效率远不及吃肉。如果真的缺铁，动物肝脏则是更好的选择，例如，羊肝中铁含量大约是 7.5 毫克 / 100 克。
红苋菜之所以是红色的，并不是因为其中的铁质含量丰富，而叶片中存在大量花青素。
当然，关注丁香医生的聪明读者们，一定对我们反复提及的花青素并不陌生。
花青素是目前被热炒的一种植物成分。在宣传中，大多被冠以「防癌抗氧化，预防心血管疾病神器」的名头。花青素确实有一定的抗氧化功能，但我们日常吃进的花青素数量太少，无法发挥功能。此外，吃抗氧化剂是否真的有益健康，到目前为止仍然缺乏临床试验的证据。
不过，反过头来说，有这花青素总比没有好——毕竟，能为我们的餐桌增添一抹亮色，让我们有个吃饭的好心情。
你会在周围的闲置土地上种菜吗？
种菜其实是个不错的活动，既能活动活动身体，又有新鲜的菜蔬可吃，何乐而不为。
但是种菜一定要注意方法，特别是要注意用土。很多朋友喜欢从河边挖一些淤泥来当肥料，或者干脆种在河岸上。这些黑黝黝的淤泥确实能让蔬菜长得更壮实，但是壮实背后却潜藏着危机：河道的淤泥虽然富含氮磷钾，但也含有很多排放的污染物，尤其是重金属。
另外，苋菜中的草酸含量较高（1.09%），所以要控制食用总量。如果不放心，可以焯水后凉拌食用，也可以降低草酸的摄入总量。"
家尝味 · 豇豆：是豆也是菜，还能防便秘、补充维生素 E,2016-06-08,阮光锋,,"（这就是豇豆，你一般把这东西叫成什么？留言告诉大家吧！）
豇豆分为长豇豆和饭豇豆两种，属豆科植物。豇豆据传原产于印度和中东，但很早就在中国开始栽培了。据文献记载，自明代的《救荒本草》以来，《便民图纂》《本草纲目》等多种书志都有豇豆的记载，因此，科学家推测，我国从明代就已经广泛栽培豇豆。
不过，豇豆一开始的身份却特别卑微。豇豆最早是作为粮食用来救荒的，明代的《救荒本草》有记载：「救饥：采嫩苗叶炸熟，油盐调食。角嫩时，采角食之，亦可做菜食。豆熟时打取豆食之。」可见一开始，豇豆实在是卑微，几乎只有穷人才会吃，而且是从叶子吃到豆荚再吃到豆子。
但到了现代，豇豆逐渐走上家家户户的餐桌，成了最常见的家常菜之一。
豇豆吃起来爽脆可口，颇受人们欢迎。它的营养如何呢？现代研究发现，豇豆也有自己的营养优势。
每 100 克豇豆中含有 4.39 毫克维生素 E，这在蔬菜中算是非常突出的。
维生素 E 又叫「生育酚」，顾名思义，与生殖功能和精子生成有关。同时，维生素 E 也具有很好的抗氧化、预防衰老作用，可以减少细胞中的脂褐质形成，改善皮肤弹性等。多吃豇豆对于补充人体所需的维生素 E 就有不错的作用。
豇豆中有丰富的膳食纤维。对于容易便秘的老年人来说，多吃豇豆有助于肠道健康。
豇豆中的维生素 B1 很丰富，维生素 B1 对于人体有多种重要生理功能，缺乏维生素 B1 最典型的疾病就是「脚气病」。
「脚气病」与平时说的「脚气」并不一样。「脚气」是由于真菌感染导致的，补充维生素可没法治愈……
原料：大蒜、豇豆
做法：
1. 豇豆洗净切段，入开水锅中焯水（开水锅里滴几滴植物油和少许盐，再放入豆角，可以保持菜色翠绿）；
2. 锅烧热放油爆香蒜蓉，下控干水分的豆角翻炒；炒至豆角表皮发白的样子，加入适量生抽和蚝油；
3. 烹入少量清水，翻炒均匀，根据口味调入适量盐和鸡精调味，出锅装盘。
袁枚的《随园食单》中有一款豇豆：「豇豆炒肉，临上时，去肉存豆。以极嫩者，抽去其筋。」这可能是最好吃的一款豇豆了。
原料：肉末、豇豆、
做法：
1. 肉末炒好备用，"
家尝味 · 燕麦：控血糖降血脂、缓解便秘又减肥的主食上选,2016-05-13,王辘,"便秘,肥胖,血糖升高,血脂异常,燕麦,血糖,血脂,减肥,便秘,纤维,β-葡聚糖,营养科,更多","《中国居民膳食指南（2016）》中，就强调了日常食物要多样化，尤其主食的种类要重视各种全谷物和杂豆类，每天最好能吃 50～150 克。
而要说各种全谷物里面，最值得推荐的，就是燕麦了。
100 克大米中就只有不到 1 克的膳食纤维，而燕麦中的膳食纤维特别丰富，高达 10.6 克/100 克。
如果每天的三餐主食里，有一两到三两的燕麦替换掉普通大米，就可以多吃到 5～15 克的膳食纤维。这样子，每天 25 克膳食纤维的摄入标准，可就很容易达到了。
充足的膳食纤维，能调整肠道菌群，并促进肠道蠕动，再加上多吃蔬菜，能帮助有效地预防和缓解便秘。
多吃可以降低血液中低密度脂蛋白胆固醇（俗称坏胆固醇），同时又不影响高密度脂蛋白胆固醇（俗称好胆固醇），可以有效地降低心血管疾病的风险。
这些都是燕麦中丰富的 β-葡聚糖的功劳。而且，燕麦的烹调有讲究，要做到尽可能粘稠的口感，β-葡聚糖越能得到发挥，降脂效果越好。
此外，得益于膳食纤维和 β-葡聚糖，燕麦还能够延缓餐后血糖的上升、减少体内胰岛素的分泌，是低血糖反应的优选食物。
燕麦的消化速度慢，饱腹感又强，有利于控制食欲，能帮助控制体重。
▲ 从左往右，依次是燕麦粉（碎)、生燕麦片、燕麦米
既然燕麦的好处这么多，那就要学学怎么挑选到真正的好燕麦。其实很简单的，注意看产品包装上的「配料表」，如果只有「燕麦」俩字，没有其它的，那基本就对了。我们一一来看一下：
看配料就知道了，这一类加了很多糖、植脂末、奶香香精、糊精、冲出来很甜的「麦片」，没有多少麦片，血糖反应高、营养价值低，最好不要买。哪怕它叫「营养早餐麦片」「无糖麦片」，都是广告宣传的套路。
平常更常见一些的，是比较细碎的燕麦片，或者叫即食燕麦片、速煮燕麦片。因为工艺过程中，有提前做熟的步骤，然后再干燥得到，所以吃的时候只要拿热水冲泡几分钟就可以，很是方便。
不过，「泡」得熟的燕麦，控血糖、降血脂的效果其实是比较弱，并不是最佳选择。
▲ 压扁制成的生燕麦片
保健效果比较好的，要选择用生燕麦粒压扁制成的生燕麦片，一般需要点时间煮一煮，才能得到粘稠的燕麦粥。
也可以选择没有压扁、米粒状的燕麦粒（也叫燕麦米），和大米一起组成燕麦饭来吃。
西北地区的朋友们，一定不会陌生的「莜麦」，其实是燕麦的亲属，叫作裸燕麦。经常吃莜麦面粉制作的各种面食，比起吃白面粉做的，也是更加营养的健康选择。
用的是压制的生燕麦片。
一个人的份量，以 40～50 克的燕麦片适宜，牛奶的量是燕麦的 5～8 倍适宜（一盒奶 250 毫升就刚好）。
因为燕麦米表层有皮，所以需要提前数个小时（比如提前一夜）浸泡吸水。因为在气温渐暖的季节，室温浸泡燕麦容易变味，所以会建议放在冰箱里浸泡。
将牛奶放在一个小锅里煮开，然后调成中火，加入生燕麦，盖上锅盖焖煮，会需要 20 分钟。如果燕麦咬起来，生生硬硬的，健康效果可是没达到的，一定要再煮一会儿。
最后按照个人口味喜好，可以加一勺枸杞、葡萄干、果仁碎一起吃。
用的是生燕麦米。
燕麦米也要提前浸泡，然后和大米一起按 1:1 的比例，用电饭锅煮饭。
如果使用的是压力电饭锅，煮燕麦饭用的水量和煮大米饭差不多，水：米约为 1.5:1；如果是用的常压电饭锅，加水量需要更多些。
如果对粗粮口感不适应，可以燕麦：大米按 1:2 来。
如果想要米饭稍微有更黏糯的口感，可以把少量大米换成糯米。"
家尝味 · 毛豆：高蛋白高钙，健康开胃菜,2016-04-29,易雪,"毛豆,大豆,雌激素,嘌呤,营养科","春夏之交，天气渐暖，换上轻便的春装，在室外摆开矮桌矮凳，架好炭火炉，宣告喝扎啤吃烧烤夏日享受的开始。不过扎啤和烧烤都不怎么健康，千万要少吃哦！
可是这下酒菜中的一抹绿色，是这个季节给我们的新鲜礼物——毛豆。虽然毛绒绒的豆荚其貌不扬，但剥开之后，脆嫩的青豆却会令人垂涎三尺、食指大动，像开了整个夏天的胃一样。
所以在和年轻一辈吃饭聊天的时候，又多了一项谈资呢，如果能忆苦思甜一下，回想起没法吃米面靠大豆度日的岁月，就更好了。
毛豆、青豆、黄豆、大豆、黑豆，这么多的名字，其实说的都是同一种东西，只是成熟的程度不同，或者种皮的颜色发生了变异。当然，在现代农业的选种育种过程中，为了特定的用途，也会做出一些筛选，培育一些专门用来当做毛豆的品种。
毛豆有几千年的栽培历史，也是人们日常生活中必不可少的食材之一。每到新鲜的毛豆上市，买来之后，加上水和少量调味香料煮熟，就成了一份无比健康的零食或开胃菜。
毛豆的营养成分也十分全面丰富，每 100 克毛豆含有大约 13 克的蛋白质（这个比例甚至接近鸡蛋）和 135 mg 的钙，十分可观。同时，毛豆还含有不少钾和其他人体必需的金属元素、膳食纤维和维生素类。
糖尿病人日常饮食中担心血糖升高，可以把一部分主食换成毛豆和其他豆类。这些豆类食品升血糖的速度比较平缓，有利于糖尿病人保持血糖的稳定。
痛风病人可能常常听到说「要少吃大豆和豆制品」。大豆的嘌呤含量确实在素食中算比较多的，但毛豆中水分含量比较多，100 克毛豆中嘌呤含量大约为 27 mg，痛风病人也可以适当吃。
听说市场上卖的大豆都是转基因，还能不能吃了？其实这种担忧是多余的。世界范围内，转基因大豆的种植和食用非常普遍，而且并没有对人体有害的证据。而且在我国，只有大豆油允许使用转基因大豆，种植和出售的毛豆、大豆都是非转基因的。
毛豆（大豆）中确实含有大豆异黄酮，这种物质有点像人体内的雌激素，能稍微弥补更年期雌激素的不足，按一般的食用量并不会致癌。
更多关于大豆雌激素的健康指南，点击这里查看 >> "
家尝味 · 蒜薹：防癌抗癌？好吃为上,2016-04-22,史军,"蒜薹,大蒜素,家尝味,营养科","中国人崇尚节俭，这点在餐桌上表现的淋漓尽致。
老一辈靠着勤俭和精打细算度过了饥馑的年代，养活了一大家子女，更有意思的是，我们熟悉的很多家常味道也是因为节俭而生。
比如老北京人喜爱的豆汁是做粉条剩余的汁水；麻豆腐是做豆腐的副产品；至于席卷南北的重庆火锅，起源就是汆烫毛肚、黄喉这些边角料。 
说起来，不仅是这种加工的副产品，我们今天熟悉的家常菜——蒜薹（读音同「台」），其实也算是一种农业生产中的边角料。
暮春时节，正是蒜薹大量上市的季节，这蒜薹是从何而来？被盛传的大蒜素跟蒜薹有没有关系呢？
蒜薹并不是我们有意生产出来的蔬菜，而是不折不扣的副产品。每年大蒜采收之前，已经进入了开花流程——长长的、上绿下白的花葶从新蒜的蒜瓣中央钻出来，那就是蒜薹。
在蒜薹的尖端有个花苞模样的东西，那里面其实包裹了很多即将绽放的小花。但是，我们并不希望看到他们的花朵。因为开花会消耗很多能量，势必会影
响到大蒜的品质。同时，大蒜抽薹意味着蒜瓣已经成熟，这个时候就可以收获大蒜和蒜瓣了。
翻过头来说，正是要保证开花结果，所以大蒜在花葶中积累了不少营养物质。所以吃蒜薹也是合情合理。 每 100 克蒜薹含有 42 毫克的维生素 C，以及钙、磷、钾等矿物质和膳食纤维。这都是我们人体需要的营养物质。
另外，比起大蒜的辛辣，蒜薹的味道要柔和很多。炒个肉片、配个木耳都能陈处其他食材的鲜甜，刚刚上市的蒜薹甚至可以凉拌食用，单吃配菜都可以。蒜薹是好吃，但是总逃脱不了蒜臭味儿的阴影。
蒜薹与大蒜一样都会给食用者的嘴巴打上标记，这就是大蒜素的作用。
不过，在没有受损伤的蒜瓣和蒜薹中又闻不到蒜味儿。这是因为，在大蒜不受威胁（比如我们的
牙齿）的情况下，大蒜素是以蒜氨酸的形态存在的。
蒜氨酸是没有任何气味儿的，只有当蒜薹或者大蒜被切碎咬破，蒜氨酸才会分解，释放出化学武器——大蒜素
（二甲基三硫醚）。
不得不感叹，人类真是一种奇怪的生物，偏偏就喜欢这种让嘴巴受虐的辛辣感觉。
当然这种感觉也不是白白忍耐的，大蒜素有比较强的抗菌能力，特别是对金黄色葡萄球菌等细菌有很好的抑制作用。抑制的原理就是影响这些细菌体内的蛋白质和氨基酸的合成。
所以吃些带有大蒜素的蒜薹，对于抑制有害细菌可能有一定的帮助。不过要提醒大家的是，大蒜素很容易被高温分解，所以炒熟的吃炒熟的蒜薹虽然不会给我们带来口臭，但是也不会有防御细菌用了。如果已经发生了感染，靠谱的做法还是去求助医生使用抗生素。想用大蒜素治疗细菌感染，只会延误病情活受罪了。
目前科学家对大蒜素的研究正逐渐深入，在很多报道中有关于大蒜素抗肿瘤、软化血管、甚至是应对认知障碍的研究。这些研究姑且听之，因为很多研究仍然是在实验室里的动物身上进行的，进入临床尚需时日。
即便进入临床，也需要提纯的大蒜素，并且要通过特别的方式送入人体。从嘴巴进入我们体内的蒜薹和大蒜，并不能带来这些神奇的功效。
还是放下杂念，尽享春日蒜薹的美妙滋味儿吧。
蛋白质、脂肪、膳食纤维和维生素尽皆齐整，美味和营养都在其中的家常味儿。"
家尝味 · 枸杞芽：配猪肝的明目叶,2016-04-07,史军,"枸杞,枸杞叶,维生素A,胡萝卜素,家尝味","不要着急，在饱饱地吸了丝丝春雨之后，郁郁葱葱的叶子疯长。各种嫩叶嫩芽成了这个季节餐桌的担当主角。
这时的枸杞芽也浸透着春天气息，微微的甜，淡淡的苦，就像一道大餐开始的头盘，挑逗着我们的味蕾。
来一把新鲜的枸杞叶，配上几片薄薄的肝片，就能立马让一锅沸水化为美味汤头，也能为暖阳之下逐渐舒展的身体提供满满的养料。
相对与枸杞果，枸杞叶的名头要小很多。不过枸杞叶成名历史可不短，在李时珍的《本草纲目》中就有关于枸杞叶的记载，「春采枸杞叶，名天精草」。
每 100 克枸杞叶中的胡萝卜素含量为 4.3 毫克，虽然比不上枸杞果，但在野菜里面也算是佼佼者。而胡萝卜素在人体内可以转化为维生素 A，这是对眼睛异常重要的物质。
除了胡萝卜素，枸杞叶里面还含有特别成分——甜菜碱。在动物实验中，甜菜碱表现出了一定的降低胆固醇的特性，但人吃了之后有没有用，还缺乏有力的证据。至于很多宣传中所说的「降血压」「降血糖」就有些言过其实了，其实甜菜碱对高血压几乎没有疗效。
枸杞叶中多糖和矿物质含量也比较出色，特别是铁的含量比较丰富。多糖对于胃肠道蠕动和平衡具有积极作用。而富含铁的枸杞叶和猪肝一起，又是强强联合。
至于滋味，那种淡淡的苦涩味儿主要来源于其中的黄酮类化合物，正是它们赋予了枸杞叶特别的滋味儿，为甜的糖和鲜的氨基酸提供了一个背景板，让枸杞的味道更为丰满。
让我们可以喝下更多的汤水，在干燥的春天补充水分，也是好事儿一桩呢。
至于说枸杞叶猪肝汤做法也非常简单，猪肝切成薄片，用冷水浸泡除去血水。买来的枸杞叶去除老枝残叶。煮开一锅沸水，放入适量精盐，倒入肝片，烧开。再加入枸杞叶，点上几滴香油就可以享受美味了。
不过，猪肝这种东西，一周吃二两（100 克），就能提供足量的维生素 A 了，不必吃太多哦。
——所谓家常味道就是随意抓一把菜叶，撒在只有油盐的沸水中，也是美味一道。"
家尝味 · 酒糟：舌尖甜香走一遭,2016-03-25,阮光锋,"消化不良,家尝味,酒糟,营养科","酒糟，又称米酒、醪糟、甜酒、酒酿。是我国民间的一种传统食品。
酒糟的制作其实很简单，就是用糯米或者大米，经过酵母发酵而成。在发酵过程中，糯米（大米）会在微生物的作用下发生神奇的转化。
第一步，是糯米里的淀粉被水解成为葡萄糖，酒糟的甜味，由此得来；
第二步，是酒糟表面长出一层白醭——根霉的菌丝；
第三步，酵母菌分解葡萄糖，成为酒精和二氧化碳，就有了酒的香味，形成可口的米酒。
作为纯天然的发酵饮品，酒糟中含有的人体必需氨基酸种类非常齐全，而且富含多种维生素、矿物质、有机酸、矿物质。
酒糟易为人体消化吸收，适量饮用，有助于促进胃液分泌、增加食欲、帮助消化。
酒糟还有一定的加快血液循环，缓解血管紧张的作用。
醪糟的味道很甜，很好喝，但是，它其实是含有一定量酒精的。虽然不像通常的酒，但也别不把它当酒，喝起来毫无顾忌，要适可而止。
美国最新膳食指南指出，女性平均每天的饮酒量不超过 1 个饮酒单位、男性不超过 2 个饮酒单位，而且在一天之内，女性不超过 3 个饮酒单位、男性不超过 4 个饮酒单位。所谓的「1 个饮酒单位」，是指含有 0.6 盎司（约 18 毫升）酒精的酒。
常见米酒的酒精量通常在 1%～4%。所以，小孩和孕妇就尽量不要吃了。
酒糟香气浓郁，香甜可口，酒精度不高，可以直接吃，也可以和鸡蛋、汤圆、菜肴等一起吃，颇受人们喜欢。
常见的酒酿一般是白色的，不过也有一种红酒糟，主要区别是酿制时原料用的是红曲米。典型的就是闽菜里的红酒糟，可以用来做各种糟菜。
鸡蛋一枚，酒糟小半碗。
1. 把酒糟放入锅中，注入适量清水，拌匀，并加热；
2. 鸡蛋提前打好，锅内水烧沸后，倒入蛋液，以大勺搅拌成蛋花，20 秒后转中火；轻轻搅拌，划散，续煮半分钟；根据个人喜好掌握蛋花煮熟的情况，可加白糖（或红糖、蜂蜜）调味，红枣（或枸杞）调节颜色，盛入碗内即可。
要注意加入的红糖、白糖也是添加糖，要限制，最好还是少加点。
鸡蛋可以不用打蛋花，卧一个整鸡蛋也好吃。"
家尝味 · 马兰头：初春的健康新风尚,2016-03-10,阮光锋,"家尝味,中老年健康,健康头条,营养科","《西游记》第八十六回说到，唐僧师徒曾在一个樵夫家里吃了多品野菜，其中有「烂煮马蓝（兰）头，白汋狗脚迹。」这里面讲到的「马兰头」就是今天的主角。
正值早春，马兰初绿，不妨摘其嫩芽，作蔬尝味。
马兰别名红梗菜、田边菊、鸡儿肠等，我们吃的是它新鲜萌发的嫩叶芽，所以叫做「马兰头」。马兰头分为青梗、红梗两种，春秋二季皆有产出，相比之下尤其是初春的马兰头更加美味。
马兰头在国内分布很广，只是江浙地区民间采食比较多见，清炒或者凉拌作为时鲜蔬菜，不少酒家饭馆子的前菜就是剁碎的马兰头拌以香干麻油。
大部分野菜的维生素含量，都要高于普通家常蔬菜，有益于身体的多项生理功能，提高免疫力。
从马兰头葱翠的颜色就能判断，所含的叶绿素、类胡萝卜素都很丰富，有助于眼部视黄醇的营养需求，促进上皮细胞的机能，有效预防和改善眼底病变。
如果补钙只知道喝奶，那就不懂行了哦。其实啊，但凡是深色绿叶蔬菜，都是不错的钙的补充来源。马兰头中非血红素铁的含量与菠菜相近，加上本身富含维生素 C，能够促进铁在体内的吸收。
它同时较高含量的锌，有助于视力，也有助于大脑的营养需求。
需要控制血压的朋友们要注意了，马兰头里蕴含丰富钾和镁，平时的饮食里可以注意食用哦。
多吃野菜，已摄入充足的膳食纤维，能够明显地促进肠道蠕动、软化粪便，从而改善便秘和痔疮问题；热量低、饱腹感强，还有助于控制体重。
野菜的「野」气，往往和富含活性成分有很大关系。研究也已表明，它们具有抗氧化、抗凝血、免疫调节等作用。
马兰头野性十足的香气，以及叶绿素的特点，决定了食用它之前需要先沸水焯过，以保留营养、风味、色泽，以及更为柔和的口感。
马兰头 150 克，香干 150 克，油适量，盐 2 克，香油
1. 马兰头的老叶和老梗摘除干净，放在清水里，锅中水烧开，放入马兰焯水数十秒，捞出过凉水沥干，然后攥干切碎；
2. 将香干切成小方丁，然后跟切好的马兰头混匀，加入少量香油、盐调味即可。
马兰头 150 克、春笋 1 支，杏鲍菇 1 支，盐 2 克，淀粉，香油适量，调味料适量。
1. 将马兰头、春笋、杏鲍菇清洗干净备用；
2. 锅中水烧开，放入马兰头焯水数十秒，捞出过凉水沥干；
3. 焯过马兰头的水继续焯春笋，约一分钟后捞出放凉；
4. 马兰头攥干水分切碎，春笋拍松切成条，杏鲍菇切成片；
5. 锅烧热，放油，倒入杏鲍菇片煸炒至软，再倒入春笋翻炒片刻，加一汤匙酱油翻炒均匀，最后倒入切碎的马兰头翻炒片刻，加入少量水淀粉勾芡，即可出锅。"
食有节 · 芒种：茄子减肥、降血脂、抗氧化，哪个功能是靠谱的？,2016-06-04,史军,"茄子,抗氧化,花青素,食有节","说起茄子，很容易就想起
如今，原产于亚洲南部的茄子已经成为世界各地的常备蔬菜。我们国家栽培茄子的历史长达 2 000 年，从汉代就已经开始种植和食用茄子。在贾思勰的《齐民要术》就已经有详细记载。
若是说到营养价值，茄子就像是个武林高手。
武林高手是无招胜有招，而茄子也是因为缺乏主要的营养素而成为特别健康的食物——茄子是一种低糖、低脂肪、低蛋白的食物（100 克茄子中的脂肪只有 0.1 克，蛋白质只有 1 克，糖 3.5 克）。我们甚至可以在某种程度上说，吃茄子「就像是在喝白开水」，当做减肥、减脂食品再合适不过。
但是，茄子疏松多孔的构造可以吸收大量的油脂，在一些菜肴中，担当了解腻下饭的重任。只是在享受这类美味佳肴的时候，要小心茄子里大量的油脂给身体造成负担。
茄子有一层影响口感的硬皮。但这层硬皮，反而因为有很多花青素，变成了必须要吃的稀罕物。花青素有一定的抗氧化功能不假，但是绝没有神奇到立竿见影的地步。如果非要吞咽硬硬的茄子皮，还不如去吃紫甘蓝了。
目前，对茄子的研究更集中在绿原酸身上，这种物质的抗氧化性非常出色，并且对保护血管和抵抗病毒都有一定的潜在价值。
「吃生茄子可以降低血脂，调节血压」，这种说法，您曾经听说过吗？
即便是加热状态，去除茄碱也是个麻烦事儿。普通的水煮（100℃）几乎不会破坏茄碱。轻度油炸（150℃）也无能为力，只有当温度升高到 170℃ 以上的时候，茄碱的「防线」才开始松动。用 210℃ 深度油炸持续 10 分钟就可以去除 40% 的茄碱。所以用煎炒的方式来出来，还是要安全很多。
总之，熟吃还是要比生吃安全很多。另外，不要购买那些有明显苦味儿的「生」茄子也是一个有用的原则。"
食有节 · 小满：樱桃、车厘子，营养有啥不一样？,2016-05-19,阮光锋,"樱桃,营养科","初夏时节，各式新鲜水果琳琅满目。此下也正是樱桃啖鲜之季。街头之上，随处都能买到樱桃。
和荔枝当年「一骑红尘妃子笑」，到如今「飞入寻常百姓家」一样，樱桃最早也只是皇家天子敬祭宗庙的高级供品，早在西周就有所种植；而到了现在，樱桃早已经成了人人都能吃到的水果了。
市场上的卖的樱桃，有的叫樱桃，有的却叫车厘子。有人说「樱桃是国产的，车厘子是进口的？」
天花乱坠一样，到底怎么回事？
卖的最多的樱桃主要是中国樱桃和欧洲甜樱桃。中国樱桃是「小巧玲珑型」，个头较小，多呈浅红色；欧洲甜樱桃是「饱满型」，个头普遍偏大，也就是我们说的大樱桃，颜色呈暗红。
我们又通常习惯把进口樱桃称为车厘子。其实车厘子和樱桃都是蔷薇科落叶灌木果树，只是品种不同而已。车厘子就是欧洲甜樱桃的一个品种，它的特点是果肉紧实，水分充沛，个头也比较大。
车厘子的叫法，应该是来源于樱桃「cherries」的音译。就像很多进口水果也会有别的称呼一样，比如，超市卖的士多啤梨，其实就是草莓「strawberry」的音译；还有蛇果来源于「delicious」的音译「地厘蛇」一样。
其实，两者除个头差异外，在营养价值上的差异几乎可忽略不计。价格上就另说了，进口的大樱桃就会贵很多，还不一定保证新鲜……
不过，值得庆幸的是，现在的育种技术越来越先进，许多国外优良的樱桃品种早已成功在国内栽培了。
很多商家将大个的樱桃唤作车厘子，宣称是进口樱桃高价销售，大家还是擦亮眼睛一点。毕竟这两种的营养没有什么差异，而且，说不定就是国内自产自销呢。
由于樱桃好吃可爱，人们总是爱不离口，对它的夸赞也自然多一些，不少人也夸樱桃了高营养，能补铁补血、维生素 C 含量高。于是，很多朋友会咬咬牙给亲人买回一些樱桃，樱桃的营养到底怎么样？
樱桃那殷红的外表一下子就让人想到了充沛的血流，所以，樱桃通常被认为是补铁补血的好东西。但让人意想不到的是，100 克樱桃中的铁含量只有 0.36 毫克——大白菜都有 0.8 毫克呢。因此，樱桃补血更像是一个以形补形的传说。
至于维生素 C，100 克樱桃中通常只有可怜的 7～9 毫克，也不如大白菜。除了铁和维生素 C，樱桃中的糖，蛋白质，矿物质等营养都不突出，所以，樱桃的营养并没有大家想象的那么好。
那还吃樱桃干啥？吃大白菜不就好了？
可是……
而且，樱桃所含的植物多酚也很丰富，是一种健康的水果。
全球顶级的医学刊物《新英格兰医学杂志》曾有文章报道：吃水果比较多的人，血压和血糖都更好；每天吃水果的人和不吃水果的人相比，更少得心血管病。
所以更不能用白菜代替水果啦！快看看每天的两份水果怎么吃吧，点击查看 >> 
樱桃美味，生吃当然是最方便的了。不过你也可以尝试用它配菜做一点佳肴哦。
食材：樱桃 10 余粒，五花肉 500 克，砂糖 35 克，食用油   100 克，盐、米醋、料酒适量，姜、葱、香叶适量
做法：
五花肉虽香，可不要吃太多哦！每天最多吃 70 克就足够了。点击查看 >> "
